Timing Observation Model
========================
The timing measurement counts the number of clock cycles from the cycle after `start` is asserted (while the divider is idle) until the cycle where `done` is asserted. The measurement assumes a stable clock and that `start` is held high for exactly one cycle. The divider is reset before each measurement.

Observed Traces
===============
The table below lists several (dividend, divisor) pairs and the measured cycle count until `done` is asserted. All values are in decimal.

dividend  divisor  cycles
--------  -------  ------
      85        3       8
     170        3       8
       1        3       2
       2        3       3
       4        3       4
       8        3       5
      16        3       6
      32        3       7
      64        3       8
     128        3       8
       0        1       1
     255        1       8
     127        1       8
      15       15       5
      15        1       5
     240       15       8
