// sim_trace.vcd.txt
// Plain-text stimulus/response table (not a binary VCD) for masked_and.v
// Columns: time a0 a1 b0 b1 r q0 q1
// time is in arbitrary simulation time units at which inputs are applied
// and outputs are sampled after settling. q0,q1 are produced by
// simulating inputs/masked_and.v with the given a0,a1,b0,b1,r values;
// the invariant q0^q1 == (a0^a1)&(b0^b1) is expected to hold for every row.
time a0 a1 b0 b1 r q0 q1
0 0 0 0 0 0 0 0
10 0 0 0 0 1 1 1
20 1 0 0 0 0 0 0
30 0 1 0 0 1 1 1
40 0 0 1 0 0 0 0
50 0 0 0 1 1 1 1
60 1 1 0 0 0 0 0
70 0 0 1 1 1 1 1
80 1 0 1 0 0 0 1
90 0 1 0 1 1 1 0
100 1 1 1 1 0 0 0
110 1 0 0 1 1 1 0
