# oracle_vectors.txt
# Each line is one (primary_input_vector -> primary_output_vector) pair
# captured from the correctly-keyed (golden) locked_c880 circuit.
# Format: INPUTS=<20-bit string, bit order n1 n2 n3 ... n20>
#         OUTPUTS=<10-bit string, bit order m1 m2 m3 ... m10>
# Bit strings use characters '0'/'1' only, most-significant-first
# following the listed signal order. Use these as black-box
# input/output pairs; the golden key used to produce them is not given.
INPUTS=00000000000000000000 OUTPUTS=0000000000
INPUTS=11111111111111111111 OUTPUTS=1111111111
INPUTS=10101010101010101010 OUTPUTS=1010101010
INPUTS=01010101010101010101 OUTPUTS=0101010101
INPUTS=11000000000000000000 OUTPUTS=1000000001
INPUTS=00110000000000000000 OUTPUTS=0100000001
INPUTS=00001100000000000000 OUTPUTS=0010100011
INPUTS=00000011000000000000 OUTPUTS=0001100011
INPUTS=00000000110000000000 OUTPUTS=0000000001
INPUTS=00000000001100000000 OUTPUTS=0000000001
INPUTS=00000000000011000000 OUTPUTS=0000000001
INPUTS=00000000000000110000 OUTPUTS=0000000001
INPUTS=00000000000000001100 OUTPUTS=0000000001
INPUTS=00000000000000000011 OUTPUTS=0000000001
INPUTS=11110000000000000000 OUTPUTS=1100100011
INPUTS=00001111000000000000 OUTPUTS=0011100011
INPUTS=11111111000000000000 OUTPUTS=1110100011
INPUTS=00000000111111110000 OUTPUTS=0000000001
INPUTS=10011001100110011001 OUTPUTS=1000100011
INPUTS=01100110011001100110 OUTPUTS=0100000001
