trial_id,secret_operand,cycle_index,mul_en,done
1,0x00,0,0,0
1,0x00,1,0,0
1,0x00,2,0,0
1,0x00,3,0,0
1,0x00,4,0,0
1,0x00,5,0,0
1,0x00,6,0,0
1,0x00,7,0,0
1,0x00,8,0,1
1,0x00,9,0,0
2,0x01,0,0,0
2,0x01,1,0,0
2,0x01,2,0,0
2,0x01,3,0,0
2,0x01,4,0,0
2,0x01,5,0,0
2,0x01,6,0,0
2,0x01,7,0,0
2,0x01,8,1,1
2,0x01,9,0,0
3,0x03,0,0,0
3,0x03,1,0,0
3,0x03,2,0,0
3,0x03,3,0,0
3,0x03,4,0,0
3,0x03,5,0,0
3,0x03,6,0,0
3,0x03,7,1,0
3,0x03,8,1,1
3,0x03,9,0,0
4,0x07,0,0,0
4,0x07,1,0,0
4,0x07,2,0,0
4,0x07,3,0,0
4,0x07,4,0,0
4,0x07,5,0,0
4,0x07,6,1,0
4,0x07,7,1,0
4,0x07,8,1,1
4,0x07,9,0,0
5,0x0F,0,0,0
5,0x0F,1,0,0
5,0x0F,2,0,0
5,0x0F,3,0,0
5,0x0F,4,0,0
5,0x0F,5,1,0
5,0x0F,6,1,0
5,0x0F,7,1,0
5,0x0F,8,1,1
5,0x0F,9,0,0
6,0x1F,0,0,0
6,0x1F,1,0,0
6,0x1F,2,0,0
6,0x1F,3,0,0
6,0x1F,4,1,0
6,0x1F,5,1,0
6,0x1F,6,1,0
6,0x1F,7,1,0
6,0x1F,8,1,1
6,0x1F,9,0,0
7,0x3F,0,0,0
7,0x3F,1,0,0
7,0x3F,2,0,0
7,0x3F,3,1,0
7,0x3F,4,1,0
7,0x3F,5,1,0
7,0x3F,6,1,0
7,0x3F,7,1,0
7,0x3F,8,1,1
7,0x3F,9,0,0
8,0x7F,0,0,0
8,0x7F,1,0,0
8,0x7F,2,1,0
8,0x7F,3,1,0
8,0x7F,4,1,0
8,0x7F,5,1,0
8,0x7F,6,1,0
8,0x7F,7,1,0
8,0x7F,8,1,1
8,0x7F,9,0,0
9,0xFF,0,0,0
9,0xFF,1,1,0
9,0xFF,2,1,0
9,0xFF,3,1,0
9,0xFF,4,1,0
9,0xFF,5,1,0
9,0xFF,6,1,0
9,0xFF,7,1,0
9,0xFF,8,1,1
9,0xFF,9,0,0
10,0x55,0,0,0
10,0x55,1,0,0
10,0x55,2,1,0
10,0x55,3,0,0
10,0x55,4,1,0
10,0x55,5,0,0
10,0x55,6,1,0
10,0x55,7,0,0
10,0x55,8,1,1
10,0x55,9,0,0
11,0xAA,0,0,0
11,0xAA,1,1,0
11,0xAA,2,0,0
11,0xAA,3,1,0
11,0xAA,4,0,0
11,0xAA,5,1,0
11,0xAA,6,0,0
11,0xAA,7,1,0
11,0xAA,8,0,1
11,0xAA,9,0,0
12,0x81,0,0,0
12,0x81,1,1,0
12,0x81,2,0,0
12,0x81,3,0,0
12,0x81,4,0,0
12,0x81,5,0,0
12,0x81,6,0,0
12,0x81,7,0,0
12,0x81,8,1,1
12,0x81,9,0,0
13,0x18,0,0,0
13,0x18,1,0,0
13,0x18,2,0,0
13,0x18,3,0,0
13,0x18,4,1,0
13,0x18,5,1,0
13,0x18,6,0,0
13,0x18,7,0,0
13,0x18,8,0,1
13,0x18,9,0,0
14,0x24,0,0,0
14,0x24,1,0,0
14,0x24,2,0,0
14,0x24,3,1,0
14,0x24,4,0,0
14,0x24,5,0,0
14,0x24,6,1,0
14,0x24,7,0,0
14,0x24,8,0,1
14,0x24,9,0,0
15,0x99,0,0,0
15,0x99,1,1,0
15,0x99,2,0,0
15,0x99,3,0,0
15,0x99,4,1,0
15,0x99,5,1,0
15,0x99,6,0,0
15,0x99,7,0,0
15,0x99,8,1,1
15,0x99,9,0,0
16,0xC3,0,0,0
16,0xC3,1,1,0
16,0xC3,2,1,0
16,0xC3,3,0,0
16,0xC3,4,0,0
16,0xC3,5,0,0
16,0xC3,6,0,0
16,0xC3,7,1,0
16,0xC3,8,1,1
16,0xC3,9,0,0
17,0x3C,0,0,0
17,0x3C,1,0,0
17,0x3C,2,0,0
17,0x3C,3,1,0
17,0x3C,4,1,0
17,0x3C,5,1,0
17,0x3C,6,1,0
17,0x3C,7,0,0
17,0x3C,8,0,1
17,0x3C,9,0,0
18,0xE7,0,0,0
18,0xE7,1,1,0
18,0xE7,2,1,0
18,0xE7,3,1,0
18,0xE7,4,0,0
18,0xE7,5,0,0
18,0xE7,6,1,0
18,0xE7,7,1,0
18,0xE7,8,1,1
18,0xE7,9,0,0
