Let me derive each trial mechanically from the rule: mul_en=1 on cycle k (1..8) iff bit(8-k) of secret_operand is set.

For operand byte bits b7 b6 b5 b4 b3 b2 b1 b0:
cycle1→bit7, cycle2→bit6, cycle3→bit5, cycle4→bit4, cycle5→bit3, cycle6→bit2, cycle7→bit1, cycle8→bit0

- 0x00=00000000: all 0
- 0x01=00000001: bit0=1 → cycle8
- 0x03=00000011: bit1,bit0 → cycle7,8
- 0x07=00000111: bit2,1,0 → cycle6,7,8
- 0x0F=00001111: bit3,2,1,0 → cycle5,6,7,8
- 0x1F=00011111: bit4,3,2,1,0 → cycle4,5,6,7,8
- 0x3F=00111111: bit5..0 → cycle3,4,5,6,7,8
- 0x7F=01111111: bit6..0 → cycle2,3,4,5,6,7,8
- 0xFF=11111111: bit7..0 → cycle1..8
- 0x55=01010101: bits6,4,2,0 → cycle2,4,6,8
- 0xAA=10101010: bits7,5,3,1 → cycle1,3,5,7
- 0x81=10000001: bits7,0 → cycle1,8
- 0x18=00011000: bits4,3 → cycle4,5
- 0x24=00100100: bits5,2 → cycle3,6
- 0x99=10011001: bits7,4,3,0 → cycle1,4,5,8
- 0xC3=11000011: bits7,6,1,0 → cycle1,2,7,8
- 0x3C=00111100: bits5,4,3,2 → cycle3,4,5,6
- 0xE7=11100111: bits7,6,5,2,1,0 → cycle1,2,3,6,7,8

```
trial_id,secret_operand,cycle_index,mul_en,done
1,0x00,0,0,0
1,0x00,1,0,0
1,0x00,2,0,0
1,0x00,3,0,0
1,0x00,4,0,0
1,0x00,5,0,0
1,0x00,6,0,0
1,0x00,7,0,0
1,0x00,8,0,1
1,0x00,9,0,0
2,0x01,0,0,0
2,0x01,1,0,0
2,0x01,2,0,0
2,0x01,3,0,0
2,0x01,4,0,0
2,0x01,5,0,0
2,0x01,6,0,0
2,0x01,7,0,0
2,0x01,8,1,1
2,0x01,9,0,0
3,0x03,0,0,0
3,0x03,1,0,0
3,0x03,2,0,0
3,0x03,3,0,0
3,0x03,4,0,0
3,0x03,5,0,0
3,0x03,6,0,0
3,0x03,7,1,0
3,0x03,8,1,1
3,0x03,9,0,0
4,0x07,0,0,0
4,0x07,1,0,0
4,0x07,2,0,0
4,0x07,3,0,0
4,0x07,4,0,0
4,0x07,5,0,0
4,0x07,6,1,0
4,0x07,7,1,0
4,0x07,8,1,1
4,0x07,9,0,0
5,0x0F,0,0,0
5,0x0F,1,0,0
5,0x0F,2,0,0
5,0x0F,3,0,0
5,0x0F,4,0,0
5,0x0F,5,1,0
5,0x0F,6,1,0
5,0x0F,7,1,0
5,0x0F,8,1,1
5,0x0F,9,0,0
6,0x1F,0,0,0
6,0x1F,1,0,0
6,0x1F,2,0,0
6,0x1F,3,0,0
6,0x1F,4,1,0
6,0x1F,5,1,0
6,0x1F,6,1,0
6,0x1F,7,1,0
6,0x1F,8,1,1
6,0x1F,9,0,0
7,0x3F,0,0,0
7,0x3F,1,0,0
7,0x3F,2,0,0
7,0x3F,3,1,0
7,0x3F,4,1,0
7,0x3F,5,1,0
7,0x3F,6,1,0
7,0x3F,7,1,0
7,0x3F,8,1,1
7,0x3F,9,0,0
8,0x7F,0,0,0
8,0x7F,1,0,0
8,0x7F,2,1,0
8,0x7F,3,1,0
8,0x7F,4,1,0
8,0x7F,5,1,0
8,0x7F,6,1,0
8,0x7F,7,1,0
8,0x7F,8,1,1
8,0x7F,9,0,0
9,0xFF,0,0,0
9,0xFF,1,1,0
9,0xFF,2,1,0
9,0xFF,3,1,0
9,0xFF,4,1,0
9,0xFF,5,1,0
9,0xFF,6,1,0
9,0xFF,7,1,0
9,0xFF,8,1,1
9,0xFF,9,0,0
10,0x55,0,0,0
10,0x55,1,0,0
10,0x55,2,1,0
10,0x55,3,0,0
10,0x55,4,1,0
10,0x55,5,0,0
10,0x55,6,1,0
10,0x55,7,0,0
10,0x55,8,1,1
10,0x55,9,0,0
11,0xAA,0,0,0
11,0xAA,1,1,0
11,0xAA,2,0,0
11,0xAA,3,1,0
11,0xAA,4,0,0
11,0xAA,5,1,0
11,0xAA,6,0,0
11,0xAA,7,1,0
11,0xAA,8,0,1
11,0xAA,9,0,0
12,0x81,0,0,0
12,0x81,1,1,0
12,0x81,2,0,0
12,0x81,3,0,0
12,0x81,4,0,0
12,0x81,5,0,0
12,0x81,6,0,0
12,0x81,7,0,0
12,0x81,8,1,1
12,0x81,9,0,0
13,0x18,0,0,0
13,0x18,1,0,0
13,0x18,2,0,0
13,0x18,3,0,0
13,0x18,4,1,0
13,0x18,5,1,0
13,0x18,6,0,0
13,0x18,7,0,0
13,0x18,8,0,1
13,0x18,9,0,0
14,0x24,0,0,0
14,0x24,1,0,0
14,0x24,2,0,0
14,0x24,3,1,0
14,0x24,4,0,0
14,0x24,5,0,0
14,0x24,6,1,0
14,0x24,7,0,0
14,0x24,8,0,1
14,0x24,9,0,0
15,0x99,0,0,0
15,0x99,1,1,0
15,0x99,2,0,0
15,0x99,3,0,0
15,0x99,4,1,0
15,0x99,5,1,0
15,0x99,6,0,0
15,0x99,7,0,0
15,0x99,8,1,1
15,0x99,9,0,0
16,0xC3,0,0,0
16,0xC3,1,1,0
16,0xC3,2,1,0
16,0xC3,3,0,0
16,0xC3,4,0,0
16,0xC3,5,0,0
16,0xC3,6,0,0
16,0xC3,7,1,0
16,0xC3,8,1,1
16,0xC3,9,0,0
17,0x3C,0,0,0
17,0x3C,1,0,0
17,0x3C,2,0,0
17,0x3C,3,1,0
17,0x3C,4,1,0
17,0x3C,5,1,0
17,0x3C,6,1,0
17,0x3C,7,0,0
17,0x3C,8,0,1
17,0x3C,9,0,0
18,0xE7,0,0,0
18,0xE7,1,1,0
18,0xE7,2,1,0
18,0xE7,3,1,0
18,0xE7,4,0,0
18,0xE7,5,0,0
18,0xE7,6,1,0
18,0xE7,7,1,0
18,0xE7,8,1,1
18,0xE7,9,0,0
```
